emp_id,project_id,hours
8905,P59,127
9604,P47,65
6260,P9,80
157,P71,58
105,P60,20
9889,P7,110
4131,P31,106
998,P17,134
3176,P16,95
7032,P61,51
7005,P9,135
3341,P55,57
9729,P19,84
5364,P70,156
7812,P58,126
3303,P70,56
5028,P25,138
2660,P9,81
7181,P22,50
2816,P24,51
8785,P29,60
8654,P11,60
8294,P42,55
2777,P28,96
9954,P4,108
2469,P63,17
9618,P38,20
1672,P36,86
1320,P22,89
5645,P21,57
9771,P20,74
6157,P50,123
531,P67,155
3713,P74,68
5810,P5,81
6900,P21,58
3322,P59,81
1951,P46,60
5704,P71,69
3496,P67,124
8431,P75,103
1406,P3,97
4070,P5,158
4491,P44,153
8001,P47,156
5762,P8,140
3134,P45,132
2216,P29,56
3231,P2,11
7998,P1,153
7004,P9,152
7240,P39,138
4983,P51,126
4772,P60,99
2856,P13,78
9074,P32,103
6340,P47,20
9210,P49,156
2335,P18,127
112,P23,95
2233,P48,77
1793,P15,25
6129,P46,115
3016,P39,28
2441,P55,114
7403,P54,139
529,P73,77
909,P41,155
6692,P39,133
681,P32,61
7052,P35,53
4836,P42,60
2654,P4,120
5346,P35,67
2398,P53,27
4933,P29,86
1062,P27,132
1267,P45,48
4467,P25,40
805,P9,95
6839,P69,73
595,P47,71
1379,P24,51
6055,P21,112
4617,P57,82
7277,P71,128
1112,P56,122
6348,P38,82
2776,P65,115
3914,P5,129
591,P59,144
1400,P6,27
701,P14,44
4923,P38,144
252,P48,110
10029,P39,42
1817,P15,140
8004,P40,160
424,P4,81
4298,P75,27
996,P8,122
2878,P25,28
4908,P73,54
605,P37,155
9946,P27,14
6888,P38,24
4441,P11,43
1303,P8,127
758,P36,62
1330,P4,99
6170,P2,65
1545,P47,143
8515,P59,150
5286,P5,109
6904,P2,120
7389,P46,39
4480,P15,77
8659,P30,98
1280,P43,113
445,P73,99
2074,P35,43
7602,P61,23
2658,P9,97
3874,P70,109
1982,P14,95
2102,P16,30
7218,P23,130
1677,P33,63
6159,P25,77
1933,P5,110
1821,P54,93
271,P33,137
3161,P41,99
3630,P16,19
8240,P26,137
1319,P24,47
213,P57,47
5375,P5,149
5117,P42,55
5026,P3,150
8580,P56,18
10090,P55,42
5304,P30,70
6777,P5,35
345,P75,157
3993,P10,35
4506,P8,16
9850,P65,39
2800,P58,38
9722,P18,57
8560,P67,124
5112,P10,95
9786,P33,48
5932,P34,59
4981,P43,21
2536,P52,119
4370,P23,132
4079,P69,120
9853,P51,121
4663,P71,26
1461,P5,95
1249,P22,154
2323,P60,47
4542,P25,14
7081,P64,130
8255,P67,69
6415,P59,127
8417,P9,12
8181,P1,140
2308,P33,23
8347,P29,101
1464,P29,58
1691,P46,126
9543,P23,24
9307,P24,73
7183,P50,31
6447,P21,14
1450,P58,48
9761,P42,39
2401,P49,112
1050,P72,117
9709,P55,38
1533,P3,151
4538,P1,71
542,P73,56
7924,P51,133
3645,P53,15
8762,P54,68
3488,P28,159
9858,P45,21
6509,P51,113
8182,P55,12
5677,P46,15
8721,P4,19
5667,P7,23
9085,P28,21
6918,P24,102
886,P65,19
5859,P48,120
4934,P40,29
9686,P74,83
1207,P17,76
3561,P54,26
6530,P7,105
311,P24,159
10095,P6,122
6637,P12,158
2028,P65,38
5188,P69,63
6868,P64,143
4418,P2,70
2295,P12,125
7350,P36,154
1634,P16,132
7235,P57,95
6185,P3,20
4673,P25,136
5655,P26,36
5547,P58,100
2268,P23,92
960,P69,73
9258,P51,19
3342,P75,25
3589,P55,136
4870,P72,119
7344,P47,111
7833,P48,62
5425,P10,90
4169,P34,136
4761,P26,44
8235,P1,142
1815,P22,24
7608,P70,21
523,P27,136
8944,P12,10
1996,P1,73
2448,P1,138
2595,P31,75
1687,P52,12
9886,P4,157
7703,P45,135
8624,P69,100
1965,P52,112
1483,P73,14
8271,P51,76
5219,P35,22
4699,P29,83
6632,P10,121
2416,P17,53
7739,P57,43
7171,P14,14
5679,P35,19
2876,P49,14
3051,P67,87
6855,P46,94
9681,P19,33
8791,P41,108
8963,P65,112
4199,P74,65
3246,P75,125
4597,P46,58
10037,P9,146
799,P23,69
8966,P38,152
7324,P53,31
5077,P39,75
3768,P29,122
3899,P49,19
1115,P66,94
7283,P44,67
7766,P40,123
6529,P28,36
8762,P28,75
3045,P74,14
314,P21,83
9827,P22,134
8902,P44,50
3421,P38,112
1385,P41,27
2716,P15,119
8160,P52,11
8670,P53,21
1553,P3,106
7100,P41,139
7404,P65,50
5187,P17,104
7007,P47,151
2243,P74,65
9223,P43,74
781,P39,85
5618,P3,69
9509,P71,112
3273,P68,60
4258,P49,109
9975,P3,143
2063,P33,85
10048,P68,110
814,P18,113
5519,P29,56
9208,P29,29
5746,P26,15
7955,P3,129
9946,P14,20
4876,P68,137
8561,P55,15
1341,P46,25
8548,P29,71
4641,P41,28
3039,P68,48
9978,P33,98
4579,P12,140
3520,P26,137
9277,P67,37
5086,P63,88
2471,P45,16
7602,P40,66
8724,P18,21
3377,P46,25
1010,P57,140
7110,P58,124
5555,P43,10
667,P42,58
5322,P62,108
1078,P29,110
7512,P27,65
6475,P9,78
3062,P33,130
4702,P11,101
1627,P56,67
2555,P41,121
6912,P9,80
8429,P21,77
4067,P54,87
9041,P44,29
7369,P68,51
7467,P47,136
7868,P26,25
6438,P9,76
6507,P4,30
8171,P33,32
9857,P49,88
521,P8,25
9737,P20,93
6856,P66,61
5508,P55,42
7410,P67,73
9224,P61,132
7941,P49,94
4372,P1,44
3777,P39,130
2090,P37,98
1976,P25,125
4566,P1,42
8812,P21,117
5934,P56,97
3063,P73,67
6268,P62,102
6466,P23,126
6160,P33,97
4335,P2,69
5097,P75,140
9479,P32,124
6019,P46,94
3981,P52,86
2878,P24,22
9577,P34,122
651,P43,75
4360,P64,111
5967,P65,61
10100,P2,27
9312,P60,108
10040,P22,124
1123,P35,71
8480,P70,94
2505,P67,125
1129,P46,142
3924,P35,78
3782,P4,43
9652,P60,71
9097,P41,89
4529,P23,81
1095,P20,76
8876,P1,87
7052,P66,144
6412,P72,21
8936,P58,112
3367,P33,54
8090,P22,88
7296,P60,36
1926,P45,124
9110,P59,59
7972,P69,31
5694,P53,41
6714,P21,26
8109,P28,106
7862,P11,70
8744,P64,60
1134,P38,15
3631,P10,155
2023,P51,118
6906,P16,118
2879,P40,111
9039,P67,157
7172,P62,110
2923,P10,138
2372,P24,89
7710,P73,56
2164,P33,136
6733,P71,118
7309,P6,126
1780,P51,123
1608,P35,142
9452,P46,127
10090,P19,95
7573,P69,104
2927,P25,90
2580,P65,24
525,P25,84
1250,P29,123
4019,P33,97
4514,P17,83
7937,P13,26
5767,P41,142
3143,P24,26
9232,P15,154
5560,P11,123
1609,P1,125
527,P56,126
7836,P55,60
2017,P27,34
6510,P39,90
4095,P71,60
3265,P52,85
2744,P45,92
233,P29,102
4112,P32,54
1551,P5,35
2730,P44,86
6711,P58,93
9861,P9,84
9592,P46,156
7457,P61,20
3909,P13,132
131,P47,119
8831,P17,104
9142,P26,57
774,P9,78
3646,P43,88
6177,P50,59
6589,P61,140
8548,P30,121
8302,P56,70
6971,P39,89
5170,P75,139
2019,P4,113
3279,P17,115
7448,P25,154
2388,P4,106
478,P36,45
9612,P38,47
10092,P18,29
1568,P23,78
7422,P34,64
5691,P7,120
9965,P62,148
2877,P8,157
9587,P27,138
7967,P18,40
1647,P18,14
3632,P66,48
9801,P65,59
9726,P6,36
6148,P1,104
5825,P39,135
7077,P11,121
9256,P8,109
8503,P5,70
725,P40,17
201,P42,79
6982,P67,14
1399,P26,40
4593,P28,71
6921,P1,101
8188,P34,60
3144,P14,37
2062,P45,78
9510,P43,43
9569,P11,131
9853,P14,107
874,P9,70
6315,P38,26
8130,P54,91
9423,P17,14
6140,P74,87
8981,P27,111
511,P73,16
1322,P54,143
323,P14,31
5676,P28,116
396,P50,84
3545,P39,103
3305,P35,136
3501,P17,25
149,P75,115
647,P15,105
3319,P43,61
575,P46,66
3034,P45,120
2931,P40,153
9059,P72,148
386,P39,136
808,P34,115
4627,P71,94
5388,P46,34
6728,P73,63
2771,P37,18
5556,P58,84
1735,P11,154
3457,P48,60
9387,P13,10
3942,P66,158
1306,P51,112
8253,P57,16
6003,P20,28
8413,P43,139
6306,P68,20
4379,P25,76
2466,P2,18
8535,P68,160
2442,P42,148
5416,P62,141
3376,P70,21
3242,P62,16
3612,P58,130
3478,P11,49
948,P48,151
9193,P53,155
5112,P67,100
3463,P8,126
4229,P67,127
9132,P10,58
4300,P3,99
2027,P36,13
5334,P8,28
9170,P13,72
6429,P10,136
649,P1,19
4625,P66,101
5088,P14,44
3251,P33,139
1797,P2,159
4760,P42,52
5316,P42,73
9475,P50,47
5396,P47,120
1384,P35,78
1757,P20,154
8982,P58,25
1127,P8,58
2217,P16,95
2487,P33,37
8231,P56,38
1914,P13,88
8540,P30,50
4205,P5,113
5717,P18,115
1352,P17,41
6458,P53,154
4992,P67,32
1089,P1,29
1154,P22,63
3693,P3,41
6978,P59,158
6352,P44,104
6493,P60,72
3160,P29,150
3249,P50,139
5137,P13,85
4047,P40,82
6541,P22,54
8379,P3,134
4423,P8,90
3373,P66,156
324,P44,104
222,P35,51
8697,P9,121
9004,P30,111
2597,P43,124
8159,P23,31
531,P65,135
3132,P60,83
2104,P7,105
9652,P11,99
7646,P74,140
1478,P48,96
5608,P12,151
5212,P46,104
2844,P55,75
4144,P41,45
2357,P13,133
3349,P17,151
5106,P19,77
8694,P62,53
9382,P69,25
2756,P3,49
1347,P59,54
6391,P41,37
4098,P34,47
637,P40,95
8139,P67,38
4102,P14,84
6046,P49,45
6210,P30,25
3683,P8,45
4698,P9,66
357,P2,39
1954,P27,26
4716,P55,87
5137,P24,31
4721,P32,129
7934,P65,17
6184,P43,45
2282,P62,131
486,P17,119
970,P40,154
7742,P52,131
9664,P67,125
3112,P45,113
9794,P56,88
1376,P9,64
5797,P2,124
7219,P38,107
7501,P22,124
6701,P25,65
9353,P53,139
531,P6,123
1955,P14,82
8278,P41,22
5936,P24,42
846,P13,26
2460,P62,12
4720,P19,42
6152,P73,67
3958,P18,63
9143,P11,87
3906,P28,38
6757,P10,120
6754,P61,88
5137,P53,159
8072,P6,134
1976,P15,144
9604,P43,27
1902,P16,104
8196,P70,126
2204,P31,159
1084,P26,136
2025,P42,104
8551,P52,12
3079,P52,87
2234,P27,113
3013,P39,96
8448,P69,83
6266,P75,62
7407,P9,81
7665,P71,137
5776,P4,142
478,P46,127
1173,P9,137
8761,P34,88
4673,P7,25
2659,P63,76
8439,P33,53
4625,P40,69
7335,P27,113
6486,P55,23
4796,P40,147
6609,P59,39
2059,P69,144
1346,P53,27
8720,P22,135
7318,P29,85
7398,P60,83
9736,P54,122
8585,P38,105
2155,P60,70
4071,P14,142
8620,P14,91
6906,P64,93
4768,P16,64
5591,P36,100
5729,P57,126
590,P59,25
7902,P57,24
5159,P48,96
3549,P4,15
1268,P63,60
1802,P34,36
2580,P61,54
5859,P23,37
3106,P74,151
5956,P49,124
2184,P34,23
6109,P47,97
2764,P42,36
8261,P61,83
8813,P46,120
5355,P20,113
5147,P20,79
3640,P57,88
2631,P65,44
2622,P4,57
2184,P7,80
1294,P1,117
4894,P74,113
788,P59,51
6261,P44,50
1111,P14,81
8514,P60,117
872,P53,125
3900,P57,53
6227,P5,24
9498,P31,51
2021,P74,97
6486,P25,55
1071,P48,10
7022,P45,20
6604,P73,109
1960,P43,148
8618,P33,79
5855,P17,65
6604,P33,158
4432,P10,36
547,P5,53
644,P69,155
6249,P63,113
659,P39,24
6849,P19,72
3156,P13,102
2064,P60,90
2142,P49,131
9771,P23,157
6781,P4,96
8670,P56,100
3940,P11,79
3571,P35,55
3041,P5,136
865,P37,65
1389,P6,126
7595,P22,52
2450,P72,129
4259,P43,139
9381,P25,112
8074,P38,52
8960,P51,18
1445,P63,110
7820,P68,125
3597,P65,142
1040,P16,36
1145,P27,18
5836,P23,158
2565,P27,145
3746,P47,52
2524,P27,129
8191,P43,21
4520,P37,144
592,P51,71
3166,P34,81
9116,P52,150
4202,P53,18
4667,P15,53
6951,P14,111
6104,P42,89
2227,P60,159
4158,P26,160
9453,P61,24
2268,P16,86
6341,P10,108
671,P40,131
6327,P10,22
2539,P55,103
4418,P38,31
9718,P6,77
3351,P63,129
643,P22,116
7611,P5,94
274,P27,92
6876,P22,70
7491,P24,80
6605,P35,93
6609,P2,85
8904,P46,32
1494,P75,18
6729,P41,110
3956,P23,57
6724,P63,28
1991,P10,135
8435,P44,39
3045,P45,53
7541,P23,158
1365,P52,84
2388,P19,43
10044,P19,99
4143,P70,75
1259,P71,123
5513,P62,109
1520,P63,113
6234,P63,51
2720,P34,103
8633,P67,70
7244,P56,13
8287,P75,153
3644,P31,82
881,P66,61
3287,P61,140
3675,P51,38
5862,P74,56
6475,P54,143
6749,P49,142
487,P70,15
7987,P48,116
5604,P31,23
514,P7,57
2445,P63,103
322,P26,114
359,P36,130
194,P20,153
685,P31,66
7516,P12,77
2427,P15,65
7838,P37,125
2993,P64,155
3831,P75,54
2458,P53,138
4661,P74,93
4361,P21,137
6926,P17,73
4140,P51,156
8469,P28,46
5169,P4,130
2949,P66,31
5763,P65,36
6924,P10,138
518,P65,17
9928,P69,153
1123,P34,14
3506,P30,110
3000,P57,47
4503,P39,94
2182,P24,133
5989,P34,44
6485,P63,69
2294,P62,55
3138,P19,36
5268,P45,70
2493,P41,22
1679,P51,158
3174,P24,155
7352,P33,102
1683,P11,111
5642,P9,118
170,P70,112
2943,P38,93
1841,P29,61
9621,P55,119
177,P44,128
5404,P20,157
6754,P51,88
7947,P9,33
8490,P11,64
2306,P1,126
2641,P25,156
2045,P75,32
8904,P34,112
5501,P47,23
6831,P28,120
9608,P66,97
1138,P49,127
6990,P47,100
9611,P10,107
6858,P75,123
6752,P8,57
2360,P26,106
4602,P40,156
9494,P45,36
4841,P31,125
175,P35,60
4228,P20,85
10047,P14,117
2645,P56,60
2061,P64,129
7791,P35,79
2524,P24,47
1719,P24,87
2250,P14,132
3243,P66,33
9543,P4,69
4317,P57,62
1804,P59,93
1754,P5,55
9782,P47,148
3974,P72,93
342,P65,62
3953,P22,131
1757,P4,86
5246,P27,92
1535,P28,91
7088,P26,85
3790,P9,122
6338,P30,60
5806,P34,124
1495,P46,76
3560,P32,139
2826,P42,87
1866,P63,115
9022,P74,46
2511,P5,111
8938,P18,155
9798,P33,97
9129,P6,54
8493,P39,98
7651,P16,152
6943,P74,35
9344,P66,31
7100,P23,104
4907,P26,37
5056,P42,73
6953,P44,35
3382,P28,142
7205,P15,67
6888,P60,84
6425,P11,120
1747,P55,12
5322,P35,71
3812,P58,15
8032,P31,107
7795,P11,42
8262,P34,133
167,P54,105
4022,P10,54
1870,P59,145
9846,P39,10
6455,P58,45
9834,P55,124
2408,P7,79
1560,P71,120
2881,P26,26
1833,P49,123
9144,P58,90
9246,P50,76
8152,P34,13
2018,P19,103
5745,P32,40
7523,P43,93
120,P34,110
1785,P56,38
4933,P30,148
4555,P7,68
9980,P60,42
6304,P62,96
4710,P45,122
6952,P8,158
4922,P12,76
2223,P46,25
5878,P51,60
6796,P8,65
8447,P43,92
2730,P65,143
3149,P25,39
3543,P20,119
8066,P66,65
5158,P26,101
8879,P47,158
1871,P60,129
6806,P32,141
6031,P66,110
9531,P19,46
5574,P35,68
8092,P53,60
6997,P52,55
8335,P64,34
1359,P60,39
7264,P48,64
5712,P43,98
3300,P35,104
881,P55,155
8643,P44,138
2205,P34,147
6867,P31,25
10041,P74,128
2566,P67,95
5430,P36,41
7419,P75,62
5003,P29,31
5216,P73,40
4415,P21,28
5937,P33,89
644,P75,112
7680,P50,47
5201,P19,150
6011,P64,76
641,P40,15
6163,P21,134
7723,P3,61
6133,P33,128
7162,P49,69
920,P58,123
9445,P63,92
1361,P1,159
562,P51,100
1714,P37,15
3844,P36,114
1781,P47,20
4556,P16,26
8277,P7,141
2606,P73,48
2380,P7,160
2452,P41,32
3551,P4,11
3039,P75,101
834,P9,33
5079,P57,75
7404,P23,156
999,P45,104
5376,P17,71
7991,P65,58
558,P33,136
5752,P62,84
5234,P49,149
4740,P37,44
6362,P30,60
3553,P32,152
9014,P40,116
5714,P9,156
789,P27,84
9299,P26,23
9262,P18,85
1562,P27,20
2026,P55,22
6746,P33,77
9630,P6,61
6099,P73,72
4863,P16,134
8031,P25,62
4765,P30,20
7537,P15,150
2589,P13,146
2715,P12,108
377,P56,58
9423,P22,66
1199,P68,106
7659,P67,39
1492,P4,149
1096,P20,70
8975,P72,71
6640,P74,132
203,P18,101
7469,P41,71
5961,P55,89
4531,P9,27
10025,P25,99
4884,P58,57
8675,P51,73
9797,P73,110
2764,P40,14
2670,P30,138
4400,P19,24
3795,P10,131
5753,P10,76
5356,P2,21
9956,P4,58
6084,P62,45
8640,P49,71
5671,P31,157
1569,P4,108
7978,P29,66
3591,P67,57
7386,P50,91
3646,P38,148
960,P23,86
9546,P50,110
8639,P74,53
3958,P72,102
9076,P45,94
3089,P4,28
127,P15,103
5181,P39,88
9121,P40,135
9843,P19,11
7417,P35,24
6104,P14,150
7739,P2,58
2307,P22,36
7507,P59,94
996,P18,98
4215,P68,71
9508,P10,16
3522,P23,11
4595,P14,23
3861,P63,43
8427,P9,24
2561,P59,54
9856,P44,124
5454,P46,39
2652,P56,64
7691,P8,24
8192,P55,64
3506,P3,56
2695,P45,36
7751,P50,119
7259,P69,54
2035,P22,135
4781,P54,51
1717,P27,64
5063,P47,157
5796,P72,55
6122,P51,99
6617,P21,26
9604,P22,93
9902,P5,159
9387,P39,86
1331,P39,137
6072,P27,122
7106,P26,125
9204,P23,99
6940,P38,140
5899,P70,119
5208,P64,121
6944,P75,101
5397,P64,134
174,P42,40
9288,P53,103
957,P51,128
9916,P75,115
4689,P44,27
1730,P48,159
186,P41,45
5530,P53,138
7578,P1,89
2815,P55,77
6292,P64,101
860,P70,22
5006,P51,114
211,P50,66
8411,P24,139
6184,P5,85
1775,P54,46
7714,P43,10
2767,P4,50
3058,P43,54
1901,P24,67
9293,P2,54
9617,P37,77
6363,P18,136
6294,P32,92
1672,P38,140
7703,P34,130
1601,P41,34
2256,P43,80
6158,P72,71
9049,P41,67
3820,P43,138
4906,P74,27
7199,P45,67
5805,P44,46
2287,P71,131
5371,P11,43
215,P74,21
1178,P71,32
8236,P39,157
7596,P32,26
2108,P11,83
10049,P55,71
3540,P55,16
9350,P70,34
982,P41,10
4718,P42,109
1772,P58,78
1110,P4,102
8141,P47,143
3507,P34,84
5960,P35,53
1559,P3,86
2770,P3,140
4924,P12,141
3164,P70,114
5352,P35,155
691,P60,150
7358,P23,93
5490,P5,105
5193,P16,95
2080,P7,156
3460,P59,104
7436,P60,10
7356,P75,107
586,P52,33
7043,P36,38
3562,P47,35
2916,P70,77
9220,P27,107
9946,P41,102
9734,P47,147
2724,P63,128
1110,P53,159
2253,P18,116
9915,P15,105
6468,P73,74
9899,P4,121
442,P68,55
8249,P55,41
419,P2,53
3792,P46,29
2353,P4,76
6088,P50,159
1897,P43,130
3467,P34,76
3290,P72,98
7033,P26,62
7910,P46,155
8488,P35,31
4078,P70,131
8763,P64,10
1952,P72,142
1552,P12,40
3877,P30,131
10096,P42,50
3516,P26,34
4458,P31,52
4614,P11,123
305,P60,35
8345,P63,116
4032,P32,140
8052,P6,141
1224,P25,54
2930,P7,139
2422,P24,23
5102,P37,142
4913,P31,91
1939,P63,141
9305,P13,116
4285,P46,131
1926,P5,84
2414,P44,14
344,P24,140
4928,P22,44
4606,P13,137
817,P16,148
3757,P13,71
8201,P64,80
3535,P33,18
3773,P8,97
7850,P74,53
5542,P12,137
3758,P29,72
5793,P67,39
3912,P53,138
2776,P21,22
1439,P43,49
8071,P54,151
6130,P37,113
2979,P11,33
6414,P58,12
978,P54,52
814,P66,45
1833,P17,78
262,P59,106
7190,P37,96
3592,P50,49
9522,P17,39
4118,P43,21
1746,P14,71
4538,P33,106
8977,P75,93
544,P17,154
1454,P68,83
8436,P75,75
5933,P35,159
4655,P57,46
5864,P38,129
2504,P8,83
8120,P33,88
2158,P14,124
6011,P53,69
9423,P33,160
132,P34,108
5435,P13,82
5033,P34,88
6992,P47,134
5171,P67,27
4891,P41,50
5295,P18,140
8470,P69,110
4983,P49,91
382,P72,68
508,P33,70
1447,P61,152
4913,P20,29
3993,P13,67
7258,P64,97
4371,P68,66
3617,P63,134
8026,P17,122
2099,P47,74
2584,P21,75
1994,P22,91
125,P27,144
3550,P36,35
3149,P37,131
2352,P24,68
7560,P19,21
7384,P39,27
9918,P62,98
3648,P62,22
952,P55,70
2742,P31,152
9202,P63,126
3537,P29,105
2710,P13,10
8800,P44,145
3200,P59,103
5939,P70,55
6901,P29,50
1536,P68,81
6155,P13,25
9223,P67,98
8414,P73,158
8553,P12,145
2107,P13,79
3072,P72,40
8242,P72,70
4775,P18,10
6846,P33,58
3385,P41,96
3182,P40,60
3174,P37,154
7535,P13,123
2191,P2,79
928,P73,65
3136,P38,47
4639,P26,18
501,P11,127
3786,P15,106
3258,P29,44
4907,P30,10
8551,P64,53
5110,P33,132
8337,P31,156
566,P63,40
2318,P11,52
6094,P64,148
9735,P56,29
917,P19,87
1927,P73,138
3036,P61,51
4704,P38,102
2992,P5,122
6390,P74,159
1364,P46,46
8955,P27,31
1575,P73,128
8178,P65,157
5947,P14,119
6747,P46,24
1847,P69,22
963,P48,80
4963,P3,46
7748,P57,109
1069,P15,42
3742,P13,109
2355,P44,130
6128,P12,16
651,P3,65
6424,P53,147
5815,P61,89
4019,P75,131
3980,P71,79
7490,P12,149
4516,P47,138
1322,P50,68
878,P23,37
2952,P10,147
2705,P25,114
3274,P61,44
5511,P15,33
2384,P67,18
3469,P12,23
2627,P49,49
3909,P57,16
6047,P5,108
7545,P38,152
2958,P45,50
2598,P74,50
5442,P37,110
5616,P36,136
6262,P29,29
7187,P12,86
6172,P46,23
3481,P50,96
4723,P21,62
7325,P21,75
7260,P55,125
6392,P17,52
6807,P62,109
1311,P64,87
7313,P2,81
5928,P43,52
2440,P38,53
809,P47,119
4372,P19,103
4835,P58,146
962,P49,79
3859,P62,31
6624,P6,58
4853,P66,134
3740,P9,37
7116,P6,41
5802,P49,97
3943,P73,104
3134,P12,34
5310,P36,56
4280,P1,33
5791,P3,76
3601,P60,25
8697,P54,150
539,P68,141
4048,P44,144
6150,P46,138
3777,P55,76
5355,P34,153
7446,P48,124
9512,P73,133
4359,P18,99
4892,P21,158
1048,P39,64
6402,P68,52
7923,P42,113
8540,P33,159
8206,P68,93
1112,P58,143
7164,P62,56
5301,P30,24
8482,P14,95
8783,P1,149
6721,P57,143
9855,P34,105
1875,P14,66
2701,P37,115
8003,P10,154
9823,P20,128
5609,P22,65
7295,P14,15
239,P19,104
6419,P25,91
1309,P72,134
5849,P58,24
6101,P27,56
781,P73,72
6265,P10,66
430,P9,83
5208,P53,80
1876,P62,50
9347,P37,28
1040,P28,119
8179,P42,145
333,P50,155
3740,P20,144
9790,P35,20
1261,P12,126
1372,P25,18
4171,P63,17
7636,P13,145
4434,P53,127
9784,P8,151
7723,P61,69
7896,P28,37
6919,P74,46
7431,P45,53
8134,P40,115
876,P11,21
366,P52,123
7812,P38,23
127,P60,24
1133,P66,65
2268,P48,111
6347,P10,149
243,P49,34
153,P68,96
4093,P59,20
207,P64,25
439,P13,11
2553,P18,43
2013,P22,111
9269,P28,20
5321,P13,19
2098,P10,149
1217,P49,154
3311,P35,160
1934,P1,107
7690,P56,142
7913,P9,20
1901,P37,88
1401,P11,118
3859,P23,153
2555,P20,102
1937,P73,107
4316,P18,94
8405,P50,41
7189,P58,47
1879,P9,134
424,P20,93
4249,P39,109
5280,P42,19
2674,P36,50
1471,P67,46
5435,P34,144
926,P43,129
5758,P43,10
2896,P38,46
4227,P18,117
3627,P32,105
3040,P30,39
7685,P42,83
8345,P57,137
2148,P25,49
140,P20,14
6664,P12,62
2235,P2,70
1835,P68,116
7467,P55,128
4689,P40,142
2840,P23,140
8115,P71,12
8276,P25,25
820,P39,120
3875,P5,158
6436,P54,110
7459,P56,54
9401,P49,18
2667,P56,89
10094,P9,20
4311,P64,41
6900,P39,93
4312,P42,138
4437,P39,114
5739,P60,128
2034,P32,125
1923,P45,60
4273,P22,129
8325,P75,64
2960,P67,128
3623,P19,54
7775,P49,119
5350,P33,146
4844,P17,137
5100,P38,119
5103,P44,80
1061,P25,17
558,P20,35
5020,P30,108
6912,P42,154
4916,P46,61
9179,P71,54
3624,P18,73
5108,P43,72
3678,P45,109
6936,P66,51
2271,P68,116
6078,P62,104
5069,P20,11
3723,P71,10
1953,P26,69
7747,P51,28
1378,P47,126
7995,P2,35
5191,P12,39
1395,P46,145
1869,P49,49
3572,P9,100
4088,P35,51
9092,P10,38
5969,P70,128
6736,P44,19
9552,P9,106
3410,P58,103
472,P48,122
10021,P18,40
6173,P9,19
